Plaza,PlazaName,Date,TotalCars
21,Catskill,2018-06-13,148088
21,Catskill,2018-06-14,158408
21,Catskill,2018-06-15,159426
21,Catskill,2018-06-16,153301
21,Catskill,2018-06-17,147316
21,Catskill,2018-06-18,147984
21,Catskill,2018-06-19,149845
21,Catskill,2018-06-20,153622
21,Catskill,2018-06-21,154075
21,Catskill,2018-06-22,155253
21,Catskill,2018-06-23,144705
21,Catskill,2018-06-24,145567
21,Catskill,2018-06-25,152821
21,Catskill,2018-06-26,154836
21,Catskill,2018-06-27,154296
21,Catskill,2018-06-28,149484
21,Catskill,2018-06-29,153622
21,Catskill,2018-06-30,142898
21,Catskill,2018-07-02,143634
21,Catskill,2018-07-03,142354
21,Catskill,2018-07-04,105092
21,Catskill,2018-07-05,140883
21,Catskill,2018-07-06,140896
21,Catskill,2018-07-07,136021
21,Catskill,2018-07-08,143196
21,Catskill,2018-07-09,147112
21,Catskill,2018-07-10,148902
21,Catskill,2018-07-11,148626
21,Catskill,2018-07-12,152782
21,Catskill,2018-07-13,155749
21,Catskill,2018-07-14,144172
21,Catskill,2018-07-15,135646
21,Catskill,2018-07-16,147827
21,Catskill,2018-07-17,142859
21,Catskill,2018-07-18,150938
21,Catskill,2018-07-19,156624
21,Catskill,2018-07-20,155601
21,Catskill,2018-07-21,139363
21,Catskill,2018-07-22,130728
21,Catskill,2018-07-23,142378
21,Catskill,2018-07-24,150255
21,Catskill,2018-07-25,145456
21,Catskill,2018-07-26,156265
21,Catskill,2018-07-27,155880
21,Catskill,2018-07-28,150252
21,Catskill,2018-07-29,147919
21,Catskill,2018-07-30,150164
21,Catskill,2018-07-31,150272
21,Catskill,2018-08-01,147612
21,Catskill,2018-08-02,153510
21,Catskill,2018-08-03,155188
21,Catskill,2018-08-04,140691
21,Catskill,2018-08-12,140628
21,Catskill,2018-08-13,144075
21,Catskill,2018-08-14,148712
21,Catskill,2018-08-15,152200
21,Catskill,2018-08-16,150416
21,Catskill,2018-08-17,156832
21,Catskill,2018-08-18,145141
21,Catskill,2018-08-19,137364
21,Catskill,2018-08-20,145977
21,Catskill,2018-08-21,147126
21,Catskill,2018-08-22,149575
21,Catskill,2018-08-23,150641
21,Catskill,2018-08-24,154577
21,Catskill,2018-08-25,151592
21,Catskill,2018-08-26,146420
21,Catskill,2018-08-27,148092
21,Catskill,2018-08-28,146912
21,Catskill,2018-08-29,147045
21,Catskill,2018-08-30,153107
21,Catskill,2018-08-31,162132
21,Catskill,2018-09-01,142627
21,Catskill,2018-09-02,138436
21,Catskill,2018-09-03,128338
21,Catskill,2018-09-04,157071
21,Catskill,2018-09-05,151067
21,Catskill,2018-09-06,149699
21,Catskill,2018-09-07,162501
21,Catskill,2018-09-08,139019
21,Catskill,2018-09-09,127746
21,Catskill,2018-09-10,130465
21,Catskill,2018-09-11,137328
21,Catskill,2018-09-12,145058
21,Catskill,2018-09-13,149124
21,Catskill,2018-09-14,154180
21,Catskill,2018-09-15,145439
21,Catskill,2018-09-16,140048
21,Catskill,2018-09-17,143152
21,Catskill,2018-09-18,133910
21,Catskill,2018-09-19,138603
21,Catskill,2018-09-20,152739
21,Catskill,2018-09-21,153767
21,Catskill,2018-09-22,146535
21,Catskill,2018-09-23,134111
21,Catskill,2018-09-24,139779
21,Catskill,2018-09-25,130256
21,Catskill,2018-09-26,146021
21,Catskill,2018-09-27,155126
21,Catskill,2018-09-28,152570
21,Catskill,2018-09-29,146817
21,Catskill,2018-10-07,134716
21,Catskill,2018-10-08,139449
21,Catskill,2018-10-09,145662
21,Catskill,2018-10-10,147080
21,Catskill,2018-10-11,142059
21,Catskill,2018-10-12,152534
21,Catskill,2018-10-13,138217
21,Catskill,2018-10-14,134419
21,Catskill,2018-10-15,140443
21,Catskill,2018-10-16,146538
21,Catskill,2018-10-17,147792
21,Catskill,2018-10-18,150010
21,Catskill,2018-10-19,156611
21,Catskill,2018-10-20,147724
21,Catskill,2018-10-21,139711
21,Catskill,2018-10-22,140678
21,Catskill,2018-10-23,144020
21,Catskill,2018-10-24,143899
21,Catskill,2018-10-25,151163
21,Catskill,2018-10-26,153472
21,Catskill,2018-10-27,119177
21,Catskill,2018-10-28,133592
21,Catskill,2018-10-29,140923
21,Catskill,2018-10-30,138733
21,Catskill,2018-10-31,137449
21,Catskill,2018-11-01,151711
21,Catskill,2018-11-02,149152
21,Catskill,2018-11-03,136635
21,Catskill,2018-11-04,120506
21,Catskill,2018-11-05,134312
21,Catskill,2018-11-06,133332
21,Catskill,2018-11-07,141641
21,Catskill,2018-11-08,151383
21,Catskill,2018-11-09,148195
21,Catskill,2018-11-10,141339
21,Catskill,2018-11-11,130071
21,Catskill,2018-11-12,131041
21,Catskill,2018-11-13,139450
21,Catskill,2018-11-14,151033
21,Catskill,2018-11-15,114912
21,Catskill,2018-11-16,136027
21,Catskill,2018-11-17,125122
21,Catskill,2018-11-18,121720
21,Catskill,2018-11-19,140408
21,Catskill,2018-11-20,147142
21,Catskill,2018-11-21,145244
21,Catskill,2018-11-22,128154
21,Catskill,2018-11-23,112543
21,Catskill,2018-11-24,123714
21,Catskill,2018-11-25,131790
21,Catskill,2018-11-26,137824
21,Catskill,2018-11-27,141582
21,Catskill,2018-11-28,145056
21,Catskill,2018-11-29,147593
21,Catskill,2018-11-30,149149
21,Catskill,2018-12-01,133590
21,Catskill,2018-12-02,115328
21,Catskill,2018-12-03,138504
21,Catskill,2018-12-04,142695
21,Catskill,2018-12-05,138488
21,Catskill,2018-12-06,144759
21,Catskill,2018-12-07,149884
21,Catskill,2018-12-08,135787
21,Catskill,2018-12-09,123538
21,Catskill,2018-12-10,139907
21,Catskill,2018-12-11,142057
21,Catskill,2018-12-12,146659
21,Catskill,2018-12-13,146147
21,Catskill,2018-12-14,152532
21,Catskill,2018-12-15,138415
21,Catskill,2018-12-16,114677
21,Catskill,2018-12-17,136321
21,Catskill,2018-12-18,145394
21,Catskill,2018-12-19,137187
21,Catskill,2018-12-20,146248
21,Catskill,2018-12-21,139822
